day,count
1523743200,63427
1523829600,86286
1523916000,72677
1524002400,76998
1524088800,90415
1524175200,87348
1524261600,88156
1524348000,84916
1524434400,58653
1524520800,9455
1524607200,45277
1524693600,85894
1524780000,73475
1524866400,82425
1524952800,100673
1525039200,120561
1525125600,105017
1525212000,102910
1525298400,73336
1525384800,64287
1525471200,70829
1525557600,96119
1525644000,105872
1525730400,112365
1525816800,85625
1525903200,77491
1525989600,81426
1526076000,77488
1526162400,78212
1526248800,76100
1526335200,70583
1526421600,10672
1526508000,19063
1526594400,51
1526853600,50393
1526940000,74301
1527026400,67048
1527112800,59475
