message.size,count
2,136
3,678
4,499
5,2687
6,2332
7,19631
8,17534
9,10
10,3187
12,2601
13,60
14,184
15,1156
16,92
17,983
18,97116
19,977
20,427827
21,1824
22,1728720
23,10546
24,204234
25,17080
26,127
27,8160
28,40064
29,19517
30,606
31,1183
32,2625
33,1551
34,4
35,1013
36,37
37,2
40,85
41,163
42,2
43,22
44,7
46,3
47,496
48,3
49,81
50,3
51,3
55,5
56,2
57,33
58,87
59,388
60,51
62,4
80,1
121,1
136,4
141,2
144,3
154,2
155,1
157,3
158,2
202,1
222,1
