rssi.in.dBm,count
-127,9
-125,358
-123,1969
-122,2
-121,36320
-120,89619
-119,89561
-118,43530
-117,70320
-116,6482
-115,74826
-114,66515
-113,55120
-112,34794
-111,33967
-110,8730
-109,21329
-108,19921
-107,16975
-106,12491
-105,10160
-104,4670
-103,6027
-102,4327
-101,3112
-100,2273
-99,1711
-98,978
-97,1160
-96,550
-95,353
-94,249
-93,161
-92,88
-91,129
-90,48
-89,39
-88,24
-87,22
-86,18
-85,31
-84,32
-83,45
-82,33
-81,16
-80,10
-79,18
-78,4
-77,3
-75,2
-74,1
-73,1
-72,1
-71,1
